bilayers,$\epsilon_{r}$,"$\overline{MV}_{int, NN}$",$\overline{M}_{int}$,$\overline{IE}_{int}$,PF,"$\overline{\alpha}_{int, NN}$",$\overline{BL}_{max}$,"$\overline{N}_{p, v}$",$\overline{BL}_{min}$,"$\overline{Gr}_{int, NN}$",a,$\overline{\kappa}_{int}$,"$\overline{C}_{int}^{p, g}$",$\rho$,"$\overline{P}_{int, NN}$",Y_Corr
BMDS_Tl2Te2-Tl2Te2_589,6.794626,1.47753200353813E-05,3286.4059023603,3953.2735323967,4.0488065517,54.5718191519,1.2390529767,2.5,0.7609470234,13.642954788,4.547651596,0.1068698125,0.9186256224,55.4877128506,4.547651596,0.245
BMDS_TeZrSe-TeZrSe_33,9.309343,1.71447144649584E-05,2367.1457445457,3522.1376073439,2.4163320844,305.6553157564,1.1656289336,2.6666666667,0.6809895153,46.6946376712,3.8912198059,0.0854122747,1.0175539793,35.7058714818,1.945609903,0.013
BMDS_TeAsBr-BrAsTe_158,5.594913,4.99315456513581E-05,1059.3713948061,4543.1807860778,1.6644839934,35.8703632553,1.1666043638,4,0.670195982,7.9711918345,3.9855959173,0.004862427,1.8891724648,32.2095388727,0,0.031
BMDS_Ti2O2-Ti2O2_660,23.519587,0.0429920571,210.6289583597,5050.0983282624,1.767665757,363.9883641727,1.3668209073,2,0.6331790927,46.1231295678,3.8435941307,0.0010277771,3.5284194119,15.1196369361,7.6871882613,3.096
BMDS_TeTiSe-SeTiTe_299,14.084605,2.08888835690922E-05,1790.2686473164,3410.2080913456,2.6157160517,257.6682202919,1.1462264074,2.6666666667,0.7182981172,43.4883072223,3.6240256019,0.0739301223,1.1633122182,37.6414173636,0,0.128
BMDS_BrAsSe-BrAsSe_182,5.159542,2.9425196698206E-05,1412.2458752635,3867.7842087864,1.6122333434,18.7729446435,1.1434111919,4,0.7233138461,5.5761221713,3.7174147809,0.0401852538,1.4776723754,32.748496679,0,0.032
BMDS_InN-InN_744,7.921277,0.0200481058,883.6715222597,3515.67854412,1.8553892155,103.2862818226,1,2,1,3.58632923,3.58632923,1.46368819,2.2826985549,23.6972284597,5.3794938449,0.629
BMDS_TeHfS-SHfTe_284,10.205337,1.10057238639554E-05,1443.9807161506,3716.6626940574,2.6383432742,310.8373361577,1.1513958101,2.6666666667,0.7129044734,44.6177994485,3.718149954,0.0100018234,2.6324501675,47.3598766276,11.1544498621,0.215
BMDS_IHfCl-ClHfI_252,5.380461,0.0393254248,612.4966321933,4465.9428100246,2.8469183057,315.5285680996,1.1333633895,3.3333333333,0.7408627202,46.4012600146,3.5693276934,0.0003176702,1.7097079652,51.5108276388,10.7079830803,0.192
BMDS_SZrTe-TeZrS_135,9.004983,2.46499321973736E-05,2766.9338306546,3328.391745756,2.3296979853,283.3325539928,1.1755702687,2.6666666667,0.6692280249,45.9458195664,3.8288182972,0.08997723,0.773421296,31.0273505776,0,0.035
