bilayers,PF,$\overline{EA}_{int}$,"$\overline{N}_{p, v}$",$\overline{Gr}_{int}$,A,$\overline{\alpha}_{int}$,d$_{layer}$,"$\overline{M}_{int, NN}$",$\rho$,"$\overline{C}_{int}^{p, g}$","$\overline{MV}_{int, NN}$","$\overline{AM}_{int, NN}$",Y_vdw
BMDS_SeWS-SWSe_297,2.298184136,649.4013065428,2.6666666667,51.9521045234,9.1305685841,62.9919267347,3.2476,10736.6816813334,53.9299723254,2.2988806252,2.21121144877823E-05,492.8144165027,2.476457
BMDS_CdCl2-CdCl2_382,1.8733438668,1364.7454290681,3.3333333333,66.4775710434,13.2431623611,57.0925021902,2.88024,1652.6324161397,23.7843118995,1.8731033253,0.0430853065,300.9400536683,1.040087
BMDS_ReH2-ReH2_537,1.7388135427,196.893126992,0,2.7045759202,6.3349857394,12.1895236724,2.31294,9317.2369993987,52.0718774802,38.6862539628,0.0302943335,500.8850263064,2.389875
BMDS_In2O2-In2O2_603,3.0482279978,487.065048292,2.5,55.269792714,10.3338744741,18.3081188365,4.43865,1295.2130486318,40.1227790246,3.171104357,0.0386207798,341.3552211429,1.311336
BMDS_BiNbAs-AsNbBi_286,3.5984849404,267.7422603619,2,51.4888962234,10.2041492982,102.9777924469,4.00693,5698.1045153946,62.0307602283,1.1293231238,7.69244109578268E-06,61.7345000533,2.811793
BMDS_TiAs2-TiAs2_457,3.2522977066,229.9414864286,2,44.2195166209,7.5263957173,88.4390332418,4.26664,2508.7205762918,44.0575347527,0.9698813979,7.25494869360068E-06,79.7560889581,3.717378
BMDS_GaN-GaN_735,1.3722719606,57.6184969913,2,44.9392177091,8.9231190369,92.1253963036,0,384.9685985607,18.4288244707,2.2678255222,0.0179503141,89.4231048444,0.601874
BMDS_STiTe-TeTiS_333,2.5183059004,675.7025804878,2.6666666667,56.8414368444,10.9299160455,134.9984125055,3.24333,4328.2622603129,31.933255911,0.7176231402,3.49148525816727E-05,280.7878165368,1.671554
BMDS_SbTaAs-SbTaAs_200,3.2804510959,305.3755775756,2,50.5588704595,9.8389643312,123.0265847849,3.95315,7729.136762631,64.463198771,0.9033184855,0.000015948,278.4347778625,3.164674
BMDS_TaSb2-TaSb2_454,4.1749951109,338.7067880259,2,49.2306377945,9.3284318271,141.1278283441,4.42784,7831.6755011939,76.813230462,0.6793828016,2.38965515854333E-05,194.2572044477,3.300715
BMDS_TeZrS-TeZrS_15,2.3296979853,747.0024497837,2.6666666667,61.2610927552,12.6958688425,109.8870851296,3.2203,6020.778484164,31.0273505776,1.7421123252,1.68219131887482E-05,181.5616064487,1.448611
BMDS_ZnF2-ZnF2_719,1.0664360806,1122.881590507,3.3333333333,58.1981312153,11.7198123561,12.8035888674,1.837,2188.1812653057,16.1291269872,2.8208976542,0.0383177831,158.8179072993,0.668814
BMDS_Zr2S2-Zr2S2_666,2.0517663448,884.2338951228,2,70.7387116098,19.5465842593,85.7706878269,2.5579,7691.2432665571,21.2282563207,3.1301879887,1.03853270982173E-05,261.5519650078,1.47008
BMDS_GeSe2-GeSe2_395,1.8776724226,707.7907799771,3.3333333333,58.0751409212,11.4096793303,104.8982232889,3.0352,2603.9441310543,34.3589319489,1.1651325147,9.94173818644793E-06,22.9396806639,1.431595
BMDS_HfLi2-HfLi2_500,4.8173971187,183.0431964531,0,3.0711945714,8.1687444299,504.0214190925,4.86593,6303.0433307499,37.4070584479,11.0010189546,1.32061366568523E-06,526.8603575224,1.914957
BMDS_Fe2O2-Fe2O2_598,3.3767064003,407.8818201154,2,46.2844618571,7.247056739,15.3317279902,3.61617,5080.2982445869,32.4903956726,2.655570999,0.0323670424,115.2645095858,2.001619
BMDS_GeS-GeS_738,1.3197712494,556.5206128421,3,52.3373617093,10.542989464,103.6279761844,1.35697,1435.8580727071,18.550035382,1.7934269279,4.7347866559671E-06,70.7862817118,0.739822
